Name,Length,%GC,
tig00000002_arrow_,675,45.48,
tig00000002_arrow_,672,45.54,
tig00000002_arrow_,672,45.54,
tig00000002_arrow_,678,45.28,
tig00000002_arrow_,672,45.54,
tig00000002_arrow_,672,45.54,
tig00000002_arrow_,678,45.28,
tig00000002_arrow_,678,45.28,
tig00000002_arrow_,594,45.96,
tig00000002_arrow_,678,45.28,
tig00000002_arrow_,468,45.51,
tig00000002_arrow_,603,46.10,
tig00000002_arrow_,594,45.96,
tig00000002_arrow_,678,45.28,
tig00000007_arrow_,669,41.55,
tig00000007_arrow_,672,41.37,
tig00000007_arrow_,672,41.37,
tig00000007_arrow_,675,41.48,
tig00000007_arrow_,666,41.29,
tig00000007_arrow_,672,41.37,
tig00000007_arrow_,675,41.48,
tig00000007_arrow_,666,41.29,
tig00000007_arrow_,666,41.29,
tig00000007_arrow_,666,41.29,
tig00000007_arrow_,666,41.29,
tig00000007_arrow_,612,41.83,
tig00000007_arrow_,615,41.30,
tig00000007_arrow_,465,40.65,
tig00000007_arrow_,165,43.03,
tig00000016_arrow_,621,38.65,
tig00000016_arrow_,573,37.70,
tig00000016_arrow_,585,37.44,
tig00000016_arrow_,585,37.44,
tig00000016_arrow_,597,38.19,
tig00000016_arrow_,555,38.02,
tig00000016_arrow_,588,37.41,
tig00000016_arrow_,585,37.44,
tig00000016_arrow_,555,38.02,
tig00000016_arrow_,561,37.43,
tig00000016_arrow_,555,38.02,
tig00000016_arrow_,555,38.02,
tig00000016_arrow_,513,38.60,
tig00000016_arrow_,408,38.48,
tig00000020_arrow_,687,42.50,
tig00000020_arrow_,603,41.96,
tig00000020_arrow_,690,42.46,
tig00000020_arrow_,582,42.10,
tig00000020_arrow_,651,42.40,
tig00000020_arrow_,585,42.22,
tig00000020_arrow_,645,42.48,
tig00000020_arrow_,594,41.92,
tig00000020_arrow_,582,42.10,
tig00000020_arrow_,615,42.11,
tig00000020_arrow_,648,42.44,
tig00000020_arrow_,330,42.42,
tig00000020_arrow_,600,42.00,
tig00000020_arrow_,555,42.16,
tig00000038_arrow_,672,47.02,
tig00000038_arrow_,660,46.97,
tig00000038_arrow_,660,46.97,
tig00000038_arrow_,594,47.14,
tig00000038_arrow_,660,46.97,
tig00000038_arrow_,594,47.14,
tig00000038_arrow_,594,47.14,
tig00000038_arrow_,630,47.94,
tig00000038_arrow_,657,47.03,
tig00000038_arrow_,672,47.02,
tig00000038_arrow_,594,47.14,
tig00000038_arrow_,654,46.94,
tig00000038_arrow_,462,47.19,
tig00000038_arrow_,657,47.03,
tig00000044_arrow_,600,34.83,
tig00000044_arrow_,384,33.59,
tig00000044_arrow_,309,34.95,
tig00000044_arrow_,348,32.18,
tig00000044_arrow_,309,34.95,
tig00000044_arrow_,447,33.78,
tig00000044_arrow_,339,33.92,
tig00000044_arrow_,450,34.22,
tig00000044_arrow_,390,32.82,
tig00000044_arrow_,594,34.68,
tig00000044_arrow_,273,35.16,
tig00000061_arrow_,675,40.44,
tig00000061_arrow_,648,39.66,
tig00000061_arrow_,675,40.44,
tig00000061_arrow_,615,38.21,
tig00000061_arrow_,591,38.07,
tig00000061_arrow_,612,38.40,
tig00000061_arrow_,591,38.07,
tig00000061_arrow_,612,38.40,
tig00000061_arrow_,612,38.40,
tig00000061_arrow_,624,38.78,
tig00000061_arrow_,651,39.48,
tig00000061_arrow_,666,40.24,
tig00000061_arrow_,651,39.48,
tig00000061_arrow_,474,38.61,
tig00000066_arrow_,663,42.84,
tig00000066_arrow_,687,42.36,
tig00000066_arrow_,348,43.39,
tig00000066_arrow_,411,41.12,
tig00000066_arrow_,591,42.30,
tig00000066_arrow_,603,41.46,
tig00000066_arrow_,264,42.05,
tig00000066_arrow_,426,41.08,
tig00000066_arrow_,612,43.63,
tig00000066_arrow_,684,42.40,
tig00000066_arrow_,351,43.30,
tig00000066_arrow_,360,40.56,
tig00000066_arrow_,594,42.26,
tig00000066_arrow_,594,41.58,
tig00000066_arrow_,255,42.35,
tig00000066_arrow_,441,41.72,
tig00000066_arrow_,648,42.44,
tig00000066_arrow_,648,41.67,
tig00000066_arrow_,315,42.22,
tig00000066_arrow_,561,43.14,
tig00000066_arrow_,654,41.59,
tig00000066_arrow_,594,42.26,
tig00000066_arrow_,597,41.54,
tig00000066_arrow_,255,42.35,
tig00000066_arrow_,603,42.29,
tig00000066_arrow_,654,41.59,
tig00000066_arrow_,276,42.03,
tig00000066_arrow_,654,42.35,
tig00000066_arrow_,654,41.59,
tig00000066_arrow_,315,42.22,
tig00000066_arrow_,327,43.73,
tig00000066_arrow_,339,42.48,
tig00000066_arrow_,582,42.27,
tig00000066_arrow_,255,42.35,
tig00000066_arrow_,330,43.94,
tig00000066_arrow_,552,42.03,
tig00000066_arrow_,255,42.35,
tig00000066_arrow_,474,41.14,
tig00000066_arrow_,474,40.72,
tig00000066_arrow_,549,41.89,
tig00000072_arrow_,666,37.54,
tig00000072_arrow_,657,37.44,
tig00000072_arrow_,624,37.02,
tig00000072_arrow_,657,37.60,
tig00000072_arrow_,663,37.56,
tig00000072_arrow_,666,37.54,
tig00000072_arrow_,654,37.46,
tig00000072_arrow_,666,37.54,
tig00000072_arrow_,624,37.02,
tig00000072_arrow_,624,37.02,
tig00000072_arrow_,666,37.54,
tig00000072_arrow_,624,37.02,
tig00000072_arrow_,654,37.46,
tig00000072_arrow_,459,37.04,
tig00000081_arrow_,672,41.82,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,123,34.15,
tig00000081_arrow_,675,42.37,
tig00000081_arrow_,675,41.78,
tig00000081_arrow_,639,42.10,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,654,42.05,
tig00000081_arrow_,489,41.92,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,630,41.75,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,99,35.35,
tig00000081_arrow_,615,41.63,
tig00000081_arrow_,651,42.09,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,117,33.33,
tig00000081_arrow_,594,41.58,
tig00000081_arrow_,630,41.75,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,582,41.58,
tig00000081_arrow_,621,41.38,
tig00000081_arrow_,594,41.58,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,117,33.33,
tig00000081_arrow_,669,41.70,
tig00000081_arrow_,585,41.71,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,666,42.04,
tig00000081_arrow_,651,42.09,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,597,41.54,
tig00000081_arrow_,291,39.18,
tig00000081_arrow_,438,42.69,
tig00000081_arrow_,657,42.01,
tig00000081_arrow_,525,41.90,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,585,40.85,
tig00000081_arrow_,684,42.25,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,123,34.15,
tig00000081_arrow_,666,42.04,
tig00000081_arrow_,279,39.43,
tig00000081_arrow_,525,41.90,
tig00000081_arrow_,474,41.56,
tig00000081_arrow_,474,42.41,
tig00000091_arrow_,675,43.11,
tig00000091_arrow_,591,42.30,
tig00000091_arrow_,684,42.98,
tig00000091_arrow_,648,42.28,
tig00000091_arrow_,594,42.26,
tig00000091_arrow_,654,42.20,
tig00000091_arrow_,594,42.26,
tig00000091_arrow_,603,42.12,
tig00000091_arrow_,654,42.20,
tig00000091_arrow_,582,42.44,
tig00000091_arrow_,582,42.44,
tig00000091_arrow_,549,42.44,
tig00000091_arrow_,474,42.41,
tig00000090_arrow_,603,42.12,
tig00000090_arrow_,675,42.96,
tig00000090_arrow_,690,42.75,
tig00000090_arrow_,582,42.44,
tig00000090_arrow_,654,42.20,
tig00000090_arrow_,648,42.44,
tig00000090_arrow_,648,42.44,
tig00000090_arrow_,594,42.26,
tig00000090_arrow_,651,42.24,
tig00000090_arrow_,582,42.44,
tig00000090_arrow_,582,42.44,
tig00000090_arrow_,549,42.44,
