nombre;largo;LTR;largo
Bagy-2;6257;LTR_Bagy-2;651
Bagy-1;13033;LTR_Bagy-1;4216
Diaspora;11751;LTR_Bagy-1;4222
Athila4-1;13567;LTR_Diaspora;2543
Cyclops-2;12330;LTR_Diaspora;2540
Calypso2-1;12903;LTR_Athila4-1;1432
Calypso4-1;13654;LTR_Athila4-1;1747
Calypso5-1;10527;LTR_Cyclops-2;1521
Ogre;22764;LTR_Cyclops-2;1611
Tat4-1;11911;LTR_Calypso5-1;1423
Tft2;13211;LTR_Calypso4-1;1381
RetroSor1;13499;LTR_Ogre;5052
Cinful-1;8596;LTR_Ogre;5229
B1147A04.5;22225;LTR_Tat4-1;467
Grande1-4;13795;LTR_Tat4-1;466
RIRE2;11316;LTR_Tft2;519
;;LTR_Tft2;519
;;LTR_RetroSor1;727
;;LTR_RetroSor1;727
;;LTR_Cinful1;601
;;LTR_Cinful1;601
;;LTR_B1147A04.5;988
;;LTR_B1147A04.5;988
;;LTR_Grande1-4;648
;;LTR_Grande1-4;643
;;LTR_RIRE2;450
;;LTR_RIRE2;450
