LTR;L.length
LTR_Bagy-2;651
LTR_Diaspora;2543
LTR_Athila4-1;1590
LTR_Cyclops-2;1566
LTR_Calypso5-1;1402
LTR_Ogre;5141
LTR_Tat4-1;467
LTR_Tft2;519
LTR_RetroSor1;727
LTR_Cinful1;601
LTR_B1147A04.5;988
LTR_Grande1-4;646
LTR_RIRE2;450
