genom,G.length
Bagy-2,6257
Diaspora,11751
Athila4-1,13567
Cyclops-2,12330
Calypso*-1,12361
Ogre,22764
Tat4-1,11911
Tft2,13211
RetroSor1,13499
Cinful-1,8596
B1147A04.5,22225
Grande1-4,13795
RIRE2,11316
